"H1","Label","Area","Perim."
"4","130:NI-K-15","40633","780.247"
"5","130:NI-K-20","40591","780.933"
"6","130:NI-K-25","40600","785.075"
"7","130:NI-K-30","40588","777.862"
"8","130:NI-K-35","40640","789.904"
"9","130:NI-K-40","40703","786.732"
"10","130:NI-K-45","40659","796.531"
"11","130:NI-K-50","40621","787.217"
"12","130:NI-K-55","40661","780.004"
"13","130:NI-K-60","40661","779.862"
"1","131:M1-K-00","37192","734.264"
"2","131:M1-K-05","37376","739.436"
"3","131:M1-K-10","37380","740.749"
"4","131:M1-K-15","37376","738.021"
"5","131:M1-K-20","37376","735.779"
"6","131:M1-K-25","37364","742.649"
"7","131:M1-K-30","37377","744.749"
"8","131:M1-K-35","37364","744.406"
"9","131:M1-K-40","37335","736.850"
"10","131:M1-K-45","37322","737.436"
"11","131:M1-K-50","37318","734.365"
"12","131:M1-K-55","37329","736.122"
"1","132:M1-K-00","33228","701.879"
"2","132:M1-K-05","33313","701.294"
"3","132:M1-K-10","33425","708.749"
"4","132:M1-K-15","33480","708.365"
"5","132:M1-K-20","33506","694.666"
"6","132:M1-K-25","33539","701.294"
"7","132:M1-K-30","33612","702.950"
"8","132:M1-K-35","33633","702.222"
"9","132:M1-K-40","33664","702.465"
"10","132:M1-K-45","33692","703.637"
"11","132:M1-K-50","33741","711.779"
"12","132:M1-K-55","33743","705.394"
"1","133:M1-K-00","37145","747.963"
"2","133:M1-K-05","37191","757.176"
"3","133:M1-K-10","37221","744.992"
"4","133:M1-K-15","37217","751.519"
"5","133:M1-K-20","37242","758.004"
"6","133:M1-K-25","37248","757.519"
"7","133:M1-K-30","37279","760.833"
"8","133:M1-K-35","37316","757.034"
"9","133:M1-K-40","37328","762.833"
"10","133:M1-K-45","37365","765.803"
"11","133:M1-K-50","37404","756.933"
"12","133:M1-K-55","37385","770.874"
"1","134:M1-K-00","32350","747.318"
"2","134:M1-K-05","32535","747.418"
"3","134:M1-K-10","32647","730.690"
"4","134:M1-K-15","32760","726.690"
"5","134:M1-K-20","32986","742.833"
"6","134:M1-K-25","33045","744.146"
"7","134:M1-K-30","33128","742.833"
"8","134:M1-K-35","33192","740.105"
"9","134:M1-K-40","33319","737.034"
"10","134:M1-K-45","33348","747.075"
"11","134:M1-K-50","33433","743.519"
"12","134:M1-K-55","33535","730.448"
"13","134:M1-K-60","33617","736.690"
"1","135:M1-K-00","36184","764.590"
"2","135:M1-K-05","36185","765.904"
"3","135:M1-K-10","36293","753.377"
"4","135:M1-K-15","36319","753.034"
"5","135:M1-K-20","36399","753.720"
"6","135:M1-K-25","36425","756.791"
"7","135:M1-K-30","36438","758.690"
